Company Name,Year,Months,Total income,Total liabilities,Total assets,Profit after tax,Total expenses,Indirect taxes,Rent & lease rent,Sales,Income from financial services,Other income
'X'Clusive Business Centre Pvt. Ltd.,31-03-2002,12,0.6,0.5,0.5,0,0.6,,,0.1,0.5,
20Th Century Finance Corpn. Ltd. [Merged],31-12-1997,12,2232.5,11165.9,11165.9,178.9,2053.6,4.5,13.5,,2190.8,39.5
20Th Century Gems Ltd.,31-03-2022,12,7.7,69.5,69.5,5.9,1.8,,,3,4.7,
20Th Century Holdings Pvt. Ltd.,31-03-2022,12,36.1,296.1,296.1,13.6,22.5,0.7,,2.7,22.7,
20Th Century Trdg. Pvt. Ltd.,31-03-2023,12,0.2,3.3,3.3,0.1,0.1,,,,0.2,
21St Century Constructions Ltd.,31-03-2022,12,0.4,367.4,367.4,-7.1,7.5,,,,0.4,
21St Century Constructions Pvt. Ltd.,31-03-2007,12,0.1,195.4,195.4,0.1,,,,0.1,,
360 One Asset Mgmt. Ltd.,31-03-2024,12,5682.3,3566,3566,2384.7,3297.6,,21.3,,3360.5,
360 One Distribution Services Ltd.,31-03-2024,12,6327.8,15837.3,15837.3,440.3,5887.5,,140,,6322.6,0.8
360 One Invst. Adviser & Trustee Services Ltd.,31-03-2024,12,377.5,648.7,648.7,136.5,241,,6.2,274.5,103,
360 One Portfolio Managers Ltd.,31-03-2023,12,1335.6,5705.1,5705.1,405.6,930,,11.5,,1335.3,0.3
360 One Prime Ltd.,31-03-2024,12,9332.1,81581.8,81581.8,2736.3,6595.8,,13.5,,9246.7,
360 One Wam Ltd.,31-03-2024,12,9683.7,49183.8,49183.8,6790.3,2893.4,,11.1,190.2,9493.1,0.1
3A Capital Services Ltd.,31-03-2009,12,10.4,107,107,9.2,1.2,,,,10.4,
3A Financial Services Ltd.,31-03-2023,12,53.1,491.8,491.8,-12.7,65.8,1.6,0.3,,52.7,0.4
3Dinnovations Pvt. Ltd.,31-03-2024,12,0.2,5.3,5.3,-1.8,2,,,,0.2,
3P Land Holdings Ltd.,31-03-2024,12,35.6,1059.7,1059.7,18.1,17.5,,,12.2,23.4,
52 Weeks Entertainment Ltd.,31-03-2024,12,2.8,199,199,1.7,1.1,0.1,,,,2.8
5Paisa Capital Ltd.,31-03-2024,12,3945.7,20479.2,20479.2,518.5,3427.2,7.6,,,3945.4,
5Paisa Corporate Services Ltd.,31-03-2024,12,,0.3,0.3,,,,,,,
5Paisa P 2 P Ltd.,31-03-2024,12,1.6,51,51,0.6,1,,,,1.3,
9 Planets Products Pvt. Ltd.,31-03-2019,12,0.8,260.6,260.6,-18.3,19.1,0.8,,0.5,,
91Streets Media Technologies Pvt. Ltd. [Merged],31-03-2019,12,283.7,2707.6,2707.6,-1735.8,2019.5,15.7,32.8,115.9,159.9,5.5
A & A Architects & Planners Pvt. Ltd.,31-03-2022,12,0.1,28.4,28.4,-3.9,4,,,,0.1,
A 1 Century Trades Ltd.,31-03-2023,12,,466.9,466.9,,,,,,,
A 2 Z Powercom Ltd.,31-03-2023,12,,107.6,107.6,-1,1,,,,,
A 2 Z Waste Mgmt. (Badaun) Ltd.,31-03-2022,12,,96.8,96.8,-2.4,2.4,,0.8,,,
A 2 Z Waste Mgmt. (Balia) Ltd.,31-03-2022,12,0.1,81.1,81.1,-2.1,2.2,,0.7,,0.1,
A 2 Z Waste Mgmt. (Dhanbad) Pvt. Ltd.,31-03-2023,12,1.8,44.5,44.5,1.4,0.4,,,,,1.8
A 2 Z Waste Mgmt. (Fatehpur) Ltd.,31-03-2023,12,3.6,137.6,137.6,-5.4,9,,,,,3.6
A 2 Z Waste Mgmt. (Jaipur) Ltd.,31-03-2023,12,13,3.1,3.1,11.6,1.4,,,,13,
A 2 Z Waste Mgmt. (Jaunpur) Ltd.,31-03-2022,12,1.5,188.8,188.8,0.7,0.8,,0.3,,1.5,
A 2 Z Waste Mgmt. (Merrut) Ltd.,31-03-2023,12,0.5,287.1,287.1,-15,15.5,,,,0.5,
A 2 Z Waste Mgmt. (Moradabad) Ltd.,31-03-2023,12,5.9,270.4,270.4,-18,23.9,,,,,5.9
A 2 Z Waste Mgmt. (Nainital) Pvt. Ltd.,31-03-2023,12,0.2,68.7,68.7,-0.6,0.8,,,,,
A 2 Z Waste Mgmt. (Ranchi) Ltd.,31-03-2023,12,0.6,308.2,308.2,-6.1,6.7,,,,0.4,0.2
A 2 Z Waste Mgmt. (Sambhal) Ltd.,31-03-2022,12,0.3,89.6,89.6,-0.9,1.2,,,,0.3,
A 2 Z Waste Mgmt. (Varanasi) Ltd.,31-03-2023,12,0.5,686.7,686.7,-9.2,9.7,,,,,0.5
A 2 Z Waste Mgmt. Pvt. Ltd.,31-03-2014,12,,0.1,0.1,,,,,,,
A A A Steel & Energy (India) Pvt. Ltd.,31-03-2012,12,0.2,72.3,72.3,0,0.2,,,,,0.2
A A Doshi Share & Stock Brokers Ltd.,31-03-2011,12,6.9,43.9,43.9,-0.1,7,,,,6.8,0.1
A A Infraproperties Pvt. Ltd. [Merged],31-03-2023,12,4.3,6744.5,6744.5,-838.1,842.4,,,,,4.3
A A P Infrastructure Ltd.,31-03-2023,12,0.8,29.1,29.1,-3.4,4.2,,,,,0.8
A A R Commercial Co. Ltd. [Merged],31-03-2021,12,0.1,1983.3,1983.3,-3.1,3.2,,,,0.1,
A B A Builders Ltd. [Merged],31-03-2022,12,73,1883,1883,37.1,35.9,,3.8,9.7,54,8.9
A B Bank Ltd.,31-03-2020,12,332.2,2034,2034,32.4,299.8,,19.2,,300.6,30.6
A B C A P Trustee Co. Pvt. Ltd.,31-03-2021,12,,0.2,0.2,,,,,,,
A B C Commercial Co. Ltd. [Merged],31-03-2012,12,,7.3,7.3,,,,,,,
A B C Dubash Oil & Gas Pvt. Ltd.,31-03-2010,12,,0.3,0.3,,,,,,,
A B C Overseas Pvt. Ltd.,31-03-2023,12,105.9,1052.4,1052.4,84.1,21.8,,,,105.7,
A B Corp Ltd.,31-03-2023,12,2.7,1189.1,1189.1,-8.1,10.3,,1.7,,2.7,
A B Crops Pvt. Ltd.,31-03-2021,12,0.1,186.6,186.6,-9.1,9.2,,0.1,,0.1,
A B Holdings Pvt. Ltd.,31-03-2022,12,4.8,14.4,14.4,4.1,0.7,,,,,4.8
A B Leasing & Finance Ltd.,31-03-2023,12,79.2,367,367,3.8,75.4,,6.6,,76.5,
A B M Securities Ltd. [Merged],31-03-2010,12,29.8,82.4,82.4,3.7,26.1,,,,29.8,
A B N L It & I T E S Ltd. [Merged],31-03-2015,12,110.9,4272.6,4272.6,-296.5,407.4,,,,110.9,
A B P Realty Advisors Pvt. Ltd.,31-03-2018,12,,0.2,0.2,,,,,,,
A B T Finance Ltd.,31-03-2023,12,4.2,179.9,179.9,-0.5,4.7,,,,4.2,
A B T Foods Agrovet Ltd.,31-03-2021,12,74.5,484.7,484.7,1.1,73.2,0.1,,32.1,42.4,
A B T Foundation Ltd.,31-03-2010,10,,28.2,28.2,-1.3,1.3,,,,,
A C C Mineral Resources Ltd.,31-03-2024,12,116.5,1533.7,1533.7,54.4,62.1,,,,61.9,
A C E Stonecraft Ltd.,31-03-2022,12,10.4,254.9,254.9,2.4,8,0.1,0.6,,10.4,
A C G Arts & Properties Pvt. Ltd.,31-03-2023,12,6.7,1210.1,1210.1,-14.6,169.2,1.3,,0.2,6.5,
A C K Capital Mgmt. Pvt. Ltd.,31-03-2023,12,33.6,221.9,221.9,13.1,20.5,1.8,,,33.6,
